Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
63,1,TRUE,TRUE,TRUE,Shahran,1850000000,61666.67
60,1,TRUE,TRUE,TRUE,Shahran,1850000000,61666.67
79,2,TRUE,TRUE,TRUE,Pardis,550000000,18333.33
95,2,TRUE,TRUE,TRUE,Shahrake Qods,902500000,30083.33
123,2,TRUE,TRUE,TRUE,Shahrake Gharb,7000000000,233333.33
70,2,TRUE,TRUE,FALSE,North Program Organization,2050000000,68333.33
87,2,TRUE,TRUE,TRUE,Pardis,600000000,20000
59,1,TRUE,TRUE,TRUE,Shahran,2150000000,71666.67
54,2,TRUE,TRUE,FALSE,Andisheh,493000000,16433.33
71,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,2370000000,79000
68,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,2450000000,81666.67
64,1,TRUE,TRUE,TRUE,Narmak,2100000000,70000
54,1,FALSE,TRUE,TRUE,Narmak,1690000000,56333.33
136,3,TRUE,TRUE,TRUE,Saadat Abad,11000000000,366666.67
95,2,TRUE,TRUE,TRUE,Zafar,5000000000,166666.67
63,1,FALSE,TRUE,FALSE,Islamshahr,570000000,19000
155,3,TRUE,TRUE,TRUE,Narmak,6700000000,223333.33
64,2,FALSE,TRUE,FALSE,Pirouzi,1450000000,48333.33
140,3,TRUE,TRUE,TRUE,West Ferdows Boulevard,6400000000,213333.33
42,1,FALSE,TRUE,FALSE,Pirouzi,1390000000,46333.33
93,2,TRUE,TRUE,TRUE,Shahrake Gharb,7000000000,233333.33
87,2,TRUE,TRUE,TRUE,Shahrake Shahid Bagheri,2500000000,83333.33
65,1,TRUE,TRUE,TRUE,Shahran,1880000000,62666.67
99,2,TRUE,TRUE,TRUE,Moniriyeh,2277000000,75900
105,2,TRUE,TRUE,TRUE,Saadat Abad,7150000000,238333.33
160,3,TRUE,TRUE,TRUE,Velenjak,14945000000,498166.67
77,2,TRUE,TRUE,TRUE,Amirieh,1771000000,59033.33
123,2,TRUE,TRUE,TRUE,Pirouzi,4059000000,135300
110,2,TRUE,TRUE,TRUE,Southern Janatabad,630000000,21000
100,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,3200000000,106666.67
90,2,FALSE,TRUE,FALSE,Salsabil,1500000000,50000
49,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,2200000000,73333.33
96,2,TRUE,TRUE,TRUE,Zargandeh,7872000000,262400
67,2,TRUE,TRUE,FALSE,Feiz Garden,2350000000,78333.33
68,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,2500000000,83333.33
62,1,TRUE,FALSE,TRUE,Water Organization,2150000000,71666.67
55,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,2150000000,71666.67
110,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,3750000000,125000
129,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,5250000000,175000
109,2,TRUE,TRUE,TRUE,West Ferdows Boulevard,4830000000,161000
58,1,TRUE,TRUE,TRUE,Saadat Abad,3400000000,113333.33
55,1,TRUE,TRUE,TRUE,Saadat Abad,3850000000,128333.33
150,2,FALSE,TRUE,TRUE,Shahrake Qods,1200000000,40000
60,2,TRUE,TRUE,TRUE,ShahrAra,2650000000,88333.33
130,3,TRUE,TRUE,FALSE,Gisha,5000000000,166666.67
88,2,TRUE,TRUE,TRUE,Gisha,4750000000,158333.33
51,1,TRUE,TRUE,TRUE,Shahrake Gharb,2980000000,99333.33
113,3,TRUE,TRUE,FALSE,Ray,7000000000,233333.33
110,2,TRUE,TRUE,TRUE,Abbasabad,2035000000,67833.33
60,1,TRUE,TRUE,TRUE,Pardis,2460000000,82000
98,2,TRUE,TRUE,TRUE,Ostad Moein,540000000,18000
62,2,FALSE,FALSE,TRUE,Farmanieh,1450000000,48333.33
150,3,TRUE,TRUE,TRUE,Parand,10000000000,333333.33
75,2,FALSE,FALSE,FALSE,Punak,635000000,21166.67
61,1,TRUE,TRUE,FALSE,Punak,2030000000,67666.67
61,1,TRUE,TRUE,FALSE,Shahran,2030000000,67666.67
72,2,TRUE,TRUE,TRUE,Qasr-od-Dasht,2350000000,78333.33
100,2,TRUE,TRUE,TRUE,Aqdasieh,3000000000,100000
122,3,TRUE,TRUE,TRUE,Pakdasht,7200000000,240000
215,3,TRUE,TRUE,TRUE,Railway,1750000000,58333.33
101,2,TRUE,TRUE,TRUE,Punak,3300000000,110000
67,2,TRUE,TRUE,TRUE,Punak,2800000000,93333.33
72,2,TRUE,TRUE,FALSE,Punak,2200000000,73333.33
63,1,TRUE,TRUE,FALSE,Punak,2200000000,73333.33
75,2,TRUE,TRUE,FALSE,Shahran,2200000000,73333.33
109,2,TRUE,TRUE,TRUE,Aqdasieh,3500000000,116666.67
122,2,TRUE,TRUE,TRUE,Central Janatabad,7000000000,233333.33
70,1,TRUE,TRUE,TRUE,West Ferdows Boulevard,3100000000,103333.33
60,1,TRUE,TRUE,TRUE,East Ferdows Boulevard,2450000000,81666.67
53,1,TRUE,TRUE,FALSE,Pakdasht KhatunAbad,1920000000,64000
90,1,FALSE,TRUE,FALSE,Amirieh,850000000,28333.33
72,2,TRUE,TRUE,TRUE,Amirieh,1650000000,55000
74,2,TRUE,TRUE,TRUE,Parand,1700000000,56666.67
88,3,FALSE,FALSE,TRUE,Punak,560000000,18666.67
63,1,TRUE,TRUE,TRUE,Sattarkhan,2150000000,71666.67
114,3,TRUE,TRUE,TRUE,Saadat Abad,5500000000,183333.33
151,3,TRUE,TRUE,TRUE,Shahran,10200000000,340000
